OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding,ENERGYSTARScore,SiteEnergyUse,SteamUse,Electricity,NaturalGas,OtherFuelUse,GHGEmissions,BuildingAge,IsSteamUser,IsElectricityUser,IsNaturalGasUser,IsOtherFuelUser,NumberOfUsedEnergies,MostUsedEnergy,GatheredPrimaryPropertyType,LogSiteEnergyUse,LogGHGEmissions
19621,NonResidential,Small- and Mid-Sized Office,BALLARD,1978,1.0,2.0,28492.0,12.0,1896298.875,0.0,1363957.0,532342.0,0.0,37.78,38,0.0,1.0,1.0,0.0,2.0,Electricity,Office,14.455415111210657,3.6579046498145056
19623,NonResidential,Small- and Mid-Sized Office,BALLARD,1963,1.0,3.0,22325.0,,1401315.875,0.0,1401316.0,0.0,0.0,9.77,53,0.0,1.0,0.0,0.0,1.0,Electricity,Office,14.15292297747501,2.3767644911682972
19624,NonResidential,Restaurant,BALLARD,1977,1.0,3.0,22719.0,,1358519.0,0.0,1358519.0,0.0,0.0,9.47,39,0.0,1.0,0.0,0.0,1.0,Electricity,Restaurant,14.121906429860156,2.3485140248824456
19654,NonResidential,Laboratory,DOWNTOWN,1946,1.0,2.0,22588.0,,7251589.0,0.0,7251588.0,0.0,0.0,50.55,70,0.0,1.0,0.0,0.0,1.0,Electricity,Medical and Care,15.796731313130687,3.942552210462969
19694,SPS-District K-12,K-12 School,CENTRAL,1925,1.0,2.0,37327.0,92.0,1967476.375,0.0,724560.0,1242916.0,0.0,71.06,91,0.0,1.0,1.0,0.0,2.0,NaturalGas,Education,14.492262759842902,4.277499105319947
19696,NonResidential,Retail Store,DOWNTOWN,1917,1.0,2.0,147545.0,69.0,6787070.0,0.0,4133510.0,2653559.0,0.0,169.75,99,0.0,1.0,1.0,0.0,2.0,Electricity,Store,15.730530036806956,5.140200498450899
19697,Nonresidential COS,Other,NORTH,1923,1.0,2.0,21462.0,,1114384.625,0.0,1114384.0,0.0,0.0,7.77,93,0.0,1.0,0.0,0.0,1.0,Electricity,Other,13.923813802046517,2.1713368063840917
19728,SPS-District K-12,K-12 School,NORTHWEST,1930,1.0,2.0,47602.0,78.0,2249592.5,0.0,777836.0,1471756.0,0.0,83.59,86,0.0,1.0,1.0,0.0,2.0,NaturalGas,Education,14.626260091191748,4.437816056315923
19730,NonResidential,Other,NORTHWEST,1917,1.0,2.0,28072.0,,1362523.0,0.0,192436.0,1170087.0,0.0,63.48,99,0.0,1.0,1.0,0.0,2.0,NaturalGas,Other,14.124849420043299,4.166355098198372
19742,NonResidential,Restaurant,DOWNTOWN,1955,1.0,2.0,31020.0,,4970047.0,0.0,1221601.0,3748445.0,0.0,207.6,61,0.0,1.0,1.0,0.0,2.0,NaturalGas,Restaurant,15.41894005597386,5.340418542566672
